basDt,idxNm,clpr,change_rate
20240703,코스피,2794.01,0.004728752975698303
20240704,코스피,2824.94,0.011070110701106861
20240705,코스피,2862.23,0.013200280359936922
20240708,코스피,2857.76,-0.001561719358681768
20240709,코스피,2867.38,0.0033662728850567536
20240710,코스피,2867.99,0.0002127377606035985
20240711,코스피,2891.35,0.008145077214355645
20240712,코스피,2857.0,-0.011880263544710945
20240715,코스피,2860.92,0.0013720686034301988
20240716,코스피,2866.09,0.0018071109992590095
20240717,코스피,2843.29,-0.007955088639924113
20240718,코스피,2824.35,-0.0066612972999589015
20240719,코스피,2795.46,-0.010228902225290715
20240722,코스피,2763.51,-0.01142924599171502
20240723,코스피,2774.29,0.0039008362553418774
20240724,코스피,2758.71,-0.005615851262845584
20240725,코스피,2710.65,-0.017421185989103583
20240726,코스피,2731.9,0.007839448102853641
20240729,코스피,2765.53,0.012310113840184433
20240730,코스피,2738.19,-0.009885989304039389
20240731,코스피,2770.69,0.011869154441437546
20240801,코스피,2777.68,0.002522837271582201
20240802,코스피,2676.19,-0.036537686126551616
20240805,코스피,2441.55,-0.08767688392827111
20240806,코스피,2522.15,0.03301181626425831
20240807,코스피,2568.41,0.018341494359970456
20240808,코스피,2556.73,-0.004547560553026853
20240809,코스피,2588.43,0.01239864983787875
20240812,코스피,2618.3,0.011539813709468882
20240813,코스피,2621.5,0.0012221670549592556
20240814,코스피,2644.5,0.008773602899103672
20240816,코스피,2697.23,0.019939497069389356
20240819,코스피,2674.36,-0.008479069267359418
20240820,코스피,2696.63,0.008327225953125295
20240821,코스피,2701.13,0.0016687495132814423
20240822,코스피,2707.67,0.0024212089014596927
20240823,코스피,2701.69,-0.0022085409226383357
20240826,코스피,2698.01,-0.001362110382760351
20240827,코스피,2689.25,-0.0032468374839234038
20240828,코스피,2689.83,0.00021567351492057796
20240829,코스피,2662.28,-0.01024228296955565
20240830,코스피,2674.31,0.004518683233919685
20240902,코스피,2681.0,0.002501579846764246
20240903,코스피,2664.63,-0.006105930622901878
20240904,코스피,2580.8,-0.031460277787159874
20240905,코스피,2575.5,-0.002053626782393181
20240906,코스피,2544.28,-0.012121918074160298
20240909,코스피,2535.93,-0.0032818714921315495
20240910,코스피,2523.43,-0.004929158139223122
20240911,코스피,2513.37,-0.003986637235825818
20240912,코스피,2572.09,0.023363054385148407
20240913,코스피,2575.41,0.001290779094043959
20240919,코스피,2580.8,0.0020928706497218563
20240920,코스피,2593.37,0.004870582765033937
20240923,코스피,2602.01,0.003331572432780705
20240924,코스피,2631.68,0.0114027232793108
20240925,코스피,2596.32,-0.013436284046692504
20240926,코스피,2671.57,0.028983330252049022
20240927,코스피,2649.78,-0.008156252690365573
20240930,코스피,2593.27,-0.021326298787069153
20241002,코스피,2561.69,-0.012177675290270584
20241004,코스피,2569.71,0.003130745718646688
20241007,코스피,2610.38,0.015826688614668516
20241008,코스피,2594.36,-0.006137037519441613
20241010,코스피,2599.16,0.0018501672859587703
20241011,코스피,2596.91,-0.0008656642915403356
20241014,코스피,2623.29,0.010158226507657186
20241015,코스피,2633.45,0.003872999172794378
20241016,코스피,2610.36,-0.008767965976190784
20241017,코스피,2609.3,-0.00040607425795669005
20241018,코스피,2593.82,-0.005932625608400688
20241021,코스피,2604.92,0.004279402579978608
20241022,코스피,2570.7,-0.013136679821261432
20241023,코스피,2599.62,0.011249854125335634
20241024,코스피,2581.03,-0.0071510451527529995
20241025,코스피,2583.27,0.0008678705787998897
20241028,코스피,2612.43,0.011288018674006084
20241029,코스피,2617.8,0.002055557469482494
20241030,코스피,2593.79,-0.009171823668729595
20241031,코스피,2556.15,-0.014511583435821707
20241101,코스피,2542.36,-0.005394832071670241
20241104,코스피,2588.97,0.018333359555688267
20241105,코스피,2576.88,-0.004669810774168726
20241106,코스피,2563.51,-0.005188444941169101
20241107,코스피,2564.63,0.00043690096781356935
20241108,코스피,2561.15,-0.0013569208813747347
20241111,코스피,2531.66,-0.011514358784139977
20241112,코스피,2482.57,-0.019390439474494925
20241113,코스피,2417.08,-0.026379920807872548
20241114,코스피,2418.86,0.0007364257699373766
20241115,코스피,2416.86,-0.0008268357821452632
20241118,코스피,2469.07,0.021602409738255446
20241119,코스피,2471.95,0.0011664310853882753
20241120,코스피,2482.29,0.004182932502680092
20241121,코스피,2480.63,-0.0006687373352830539
20241122,코스피,2501.24,0.008308373276143532
20241125,코스피,2534.34,0.013233436215637218
20241126,코스피,2520.36,-0.005516229077392909
20241127,코스피,2503.06,-0.006864098779539529
20241128,코스피,2504.67,0.0006432127076458904
20241129,코스피,2455.91,-0.01946763445883104
